i,k,l,result
0,0,0,success
1,0,0,success
1,0,1,success
1,0,2,success
1,1,0,success
2,0,0,success
2,0,1,failure
2,0,2,success
2,0,3,success
2,0,4,success
2,0,5,success
2,0,6,success
2,0,7,success
2,0,8,success
2,0,9,success
2,0,10,success
2,0,11,success
2,0,12,success
2,0,13,success
2,0,14,success
2,0,15,success
2,0,16,success
2,0,17,success
2,0,18,success
2,0,19,success
2,0,20,success
2,0,21,success
2,0,22,success
2,0,23,success
2,0,24,success
2,0,25,success
2,0,26,success
2,0,27,success
2,0,28,success
2,0,29,success
2,0,30,success
2,0,31,success
2,0,32,success
2,1,0,success
2,1,1,success
2,1,2,success
2,1,3,success
2,1,4,success
2,1,5,success
2,1,6,success
2,1,7,success
2,2,0,success
2,3,0,success
2,3,1,success
2,3,2,success
2,4,0,success
2,5,0,success
2,5,1,success
2,5,2,success
2,5,3,success
2,5,4,success
2,6,0,success
2,6,1,success
3,0,0,success
3,0,1,failure
3,0,2,failure
3,0,3,success
3,0,4,success
3,0,5,success
3,0,6,success
3,0,7,success
3,0,8,success
3,1,0,success
3,1,1,success
3,3,0,success
3,5,0,success
4,0,0,success
4,0,1,failure
4,0,2,failure
4,0,3,failure
4,0,4,failure
4,0,5,failure
4,0,6,failure
4,0,7,success
4,0,8,success
4,0,9,success
4,0,10,failure
4,0,11,failure
4,0,12,failure
4,0,13,success
4,0,14,success
4,0,15,success
4,0,16,success
4,0,17,success
4,0,18,success
4,0,19,success
4,0,20,success
4,0,21,success
4,0,22,success
4,0,23,success
4,0,24,success
4,0,25,success
4,1,0,success
4,1,1,failure
4,1,2,success
4,1,3,success
4,1,4,success
4,1,5,success
4,3,0,success
4,3,1,success
4,4,0,success
4,5,0,success
4,5,1,failure
4,5,2,success
4,5,3,success
4,6,0,success
5,0,0,success
5,0,1,failure
5,0,2,failure
5,0,3,failure
5,0,4,failure
5,1,0,success
5,5,0,success
6,0,0,success
6,0,1,failure
6,0,2,failure
6,0,3,failure
6,0,4,failure
6,0,5,failure
6,0,6,failure
6,0,7,failure
6,0,8,failure
6,0,9,failure
6,0,10,failure
6,0,11,failure
6,0,12,failure
6,0,13,failure
6,0,14,failure
6,1,0,success
6,1,1,failure
6,1,2,failure
6,1,3,failure
6,3,0,success
6,5,0,success
6,5,1,failure
6,6,0,success
7,0,0,success
7,0,1,failure
7,0,2,failure
7,0,3,failure
7,0,4,failure
7,0,5,failure
7,0,6,failure
7,0,7,failure
7,0,8,failure
7,0,9,failure
7,0,10,failure
7,0,11,failure
7,0,12,failure
7,0,13,failure
7,0,14,failure
7,0,15,failure
7,0,16,failure
7,0,17,failure
7,0,18,failure
7,0,19,failure
7,0,20,failure
7,0,21,failure
7,0,22,failure
7,0,23,failure
7,0,24,failure
7,0,25,failure
7,0,26,failure
7,0,27,failure
7,0,28,failure
7,0,29,failure
7,0,30,failure
7,0,31,failure
7,0,32,failure
7,0,33,failure
7,0,34,failure
7,0,35,failure
7,0,36,failure
7,0,37,failure
7,0,38,failure
7,0,39,failure
7,0,40,failure
7,0,41,failure
7,0,42,failure
7,0,43,failure
7,0,44,failure
7,0,45,failure
7,0,46,failure
7,0,47,failure
7,0,48,failure
7,0,49,failure
7,0,50,failure
7,0,51,failure
7,0,52,failure
7,0,53,failure
7,0,54,failure
7,0,55,failure
7,0,56,failure
7,0,57,failure
7,0,58,failure
7,0,59,failure
7,0,60,failure
7,0,61,failure
7,0,62,failure
7,0,63,failure
7,0,64,failure
7,0,65,failure
7,1,0,success
7,1,1,failure
7,1,2,failure
7,1,3,failure
7,1,4,failure
7,1,5,failure
7,1,6,failure
7,1,7,failure
7,1,8,failure
7,1,9,failure
7,1,10,failure
7,1,11,failure
7,1,12,failure
7,1,13,failure
7,1,14,failure
7,1,15,failure
7,1,16,failure
7,2,0,success
7,2,1,failure
7,3,0,success
7,3,1,failure
7,3,2,failure
7,3,3,failure
7,3,4,failure
7,3,5,failure
7,3,6,failure
7,4,0,success
7,4,1,failure
7,5,0,success
7,5,1,failure
7,5,2,failure
7,5,3,failure
7,5,4,failure
7,5,5,failure
7,5,6,failure
7,5,7,failure
7,5,8,failure
7,5,9,failure
7,5,10,failure
7,6,0,success
7,6,1,failure
7,6,2,failure
7,6,3,failure
7,7,0,success
